Bandwidth_Gbps,Optimizer,Energy,device,baseE,transE
0.5,0.0000,1977,1,1977,289.3595609936
0.75,8.7183,2266.3595609936,4,1977,618.533231548069
1,12.4780,2595.53323154807,4,1977,585.036652509504
1.25,15.0660,2562.0366525095,5,1977,525.686892747832
1.5,16.7913,2502.68689274783,5,1977,731.132948332879
1.75,18.9524,2708.13294833288,5,1977,581.06409744384
2,20.8009,2558.06409744384,6,1977,576.445822101988
2.25,22.2387,2553.44582210199,6,1977,484.370836684723
2.5,22.5481,2461.37083668472,6,1977,440.407491474153
2.75,22.6406,2417.40749147415,6,1977,403.70686718464
3,22.6651,2380.70686718464,6,1977,289.3595609936
